date,latitude,longitude,magnitude
2017-03-20 07:00:00,39.5765,26.1765,4.3
2017-03-10 22:23:00,37.5076,38.5076,4.0
2017-03-08 20:09:00,39.9536,27.6536,4.1
2017-03-02 17:03:00,37.5998,38.4998,4.0
2017-03-02 11:18:00,37.5915,38.4915,4.4
2017-03-02 11:16:00,37.5873,38.4873,4.2
2017-03-02 11:07:00,37.5866,38.4866,5.5
2017-02-28 23:27:00,39.4968,26.0968,4.7
2017-02-27 22:52:00,39.4835,26.0835,4.0
2017-02-25 21:06:00,37.0965,36.0965,4.4
2017-02-23 01:55:00,39.5225,26.1225,4.3
2017-02-17 23:00:00,36.3923,41.2923,4.1
2017-02-16 00:19:00,39.5885,26.0885,4.6
2017-02-12 13:48:00,39.57,26.17,5.3
2017-02-12 12:14:00,39.5183,26.1183,4.0
2017-02-10 16:15:00,37.4898,35.6898,4.0
2017-02-10 08:55:00,39.5946,26.1946,5.0
2017-02-09 10:13:00,39.5036,26.1036,4.0
2017-02-08 02:16:00,39.5775,26.1775,4.1
2017-02-08 01:38:00,39.5916,26.1916,4.5
2017-02-07 22:53:00,39.5065,26.1065,4.1
2017-02-07 21:35:00,39.577,26.177,4.1
2017-02-07 21:00:00,39.5705,26.1705,4.4
2017-02-07 05:17:00,39.5865,26.1865,4.2
2017-02-07 05:15:00,39.5555,26.1555,4.3
2017-02-07 02:24:00,39.551,26.151,5.2
2017-02-06 11:45:00,39.5183,26.1183,4.4
2017-02-06 10:58:00,39.5351,26.1351,5.3
2017-02-06 04:17:00,39.5288,26.1288,4.0
2017-02-06 03:51:00,39.537,26.137,5.3
2017-02-03 06:33:00,38.6893,38.0893,4.0
2017-01-25 01:19:00,36.7628,27.6628,4.3
2017-01-15 04:03:00,39.551,26.151,4.3
2017-01-14 22:38:00,39.5518,26.1518,4.6
2017-01-05 14:05:00,36.5875,26.7875,4.2
2017-01-04 00:08:00,36.2586,29.2586,4.1
2016-12-20 06:03:00,36.559,26.959,5.1
2016-12-16 21:21:00,39.52,39.72,4.5
2016-12-15 16:43:00,37.1418,28.6418,4.2
2016-11-20 22:52:00,39.9926,38.5926,4.0
2016-11-19 21:14:00,36.007,40.907,4.2
2016-11-02 11:57:00,40.7811,34.2811,4.7
2016-10-23 08:22:00,38.4276,41.9276,4.2
2016-10-19 12:18:00,36.178,30.378,4.3
2016-10-17 01:30:00,37.9261,26.9261,4.4
2016-10-15 02:51:00,38.9166,27.7166,4.2
2016-10-15 02:49:00,38.92,27.72,4.1
2016-10-09 06:21:00,39.026,27.726,4.0
2016-09-28 09:10:00,37.9285,29.1285,4.0
2016-09-27 20:57:00,36.4966,27.5966,5.2
2016-09-27 18:11:00,37.9198,29.1198,4.0
2016-09-16 05:12:00,37.2008,36.9008,4.0
2016-09-12 09:29:00,38.9448,27.7448,4.5
2016-09-12 08:26:00,38.9451,27.7451,4.6
2016-09-06 05:27:00,36.2553,28.1553,4.2
2016-08-17 01:07:00,38.7531,38.1531,4.1
2016-08-02 19:30:00,40.3615,33.3615,4.2
2016-07-19 01:55:00,37.1558,26.8558,4.1
2016-07-17 20:58:00,37.9981,29.3981,4.0
2016-07-09 07:15:00,36.9645,30.4645,4.3
2016-07-03 18:05:00,38.7053,27.8053,4.0
2016-06-25 05:40:00,40.6016,29.2016,4.2
2016-06-21 06:25:00,39.475,40.675,4.1
2016-06-10 18:57:00,39.0121,40.7121,4.5
2016-06-07 04:09:00,40.2605,29.1605,4.3
2016-06-05 20:26:00,38.6953,26.6953,4.2
2016-05-09 03:57:00,39.9503,39.8503,4.1
2016-05-05 07:34:00,36.741,26.541,4.1
2016-04-23 19:51:00,36.9191,36.6191,4.0
2016-04-07 11:11:00,37.9906,35.0906,4.1
2016-03-31 21:33:00,37.0441,35.8441,4.1
2016-03-12 15:44:00,36.5785,27.9785,4.2
2016-02-18 07:56:00,39.0421,35.8421,4.1
2016-02-05 13:25:00,36.967,29.367,4.0
2016-02-02 14:21:00,38.8425,37.8425,4.1
2016-01-22 07:22:00,39.2295,40.1295,4.1
2016-01-19 19:04:00,36.6533,26.9533,4.5
2016-01-10 17:40:00,39.558,34.358,5.0
2016-01-05 23:11:00,36.64,26.84,4.2
2016-01-01 09:11:00,40.0338,30.5338,4.0
2015-12-19 11:14:00,38.6821,26.5821,4.0
2015-12-09 09:03:00,38.8493,37.8493,4.5
2015-12-07 23:27:00,39.2905,40.1905,4.5
2015-12-04 16:00:00,39.2996,40.1996,4.0
2015-12-04 15:37:00,39.2135,40.2135,4.1
2015-12-03 16:42:00,39.2853,40.1853,4.0
2015-12-03 00:36:00,39.2023,40.2023,4.0
2015-12-02 23:27:00,39.217,40.217,5.3
2015-12-02 15:52:00,39.154,28.154,4.0
2015-11-29 00:28:00,38.837,37.837,5.0
2015-11-18 14:55:00,37.8195,29.3195,4.1
2015-11-18 10:35:00,37.8956,29.2956,4.1
2015-11-16 15:45:00,40.8631,28.7631,4.0
2015-10-28 16:20:00,40.8446,27.7446,4.4
2015-10-26 20:08:00,39.7648,26.2648,4.3
2015-10-13 23:18:00,39.1328,29.0328,4.2
2015-10-09 16:11:00,40.6735,36.6735,4.0
2015-10-09 14:39:00,40.681,36.681,4.9
2015-10-06 21:27:00,36.1853,29.8853,5.2
2015-10-03 21:08:00,38.163,38.963,4.1
2015-09-28 03:34:00,36.0355,29.5355,4.0
2015-09-22 07:11:00,39.1071,29.1071,4.3
2015-09-22 06:25:00,39.118,29.118,4.3
2015-09-18 22:30:00,39.8296,30.4296,4.0
2015-09-16 03:23:00,36.1835,30.7835,4.0
2015-09-13 02:57:00,37.178,28.878,4.4
2015-09-10 08:12:00,38.87,26.27,4.8
2015-09-07 00:37:00,39.1901,40.1901,4.4
2015-09-03 08:23:00,39.1225,29.1225,4.1
2015-08-26 23:01:00,37.3338,36.9338,4.0
2015-08-23 01:57:00,37.4898,35.6898,4.0
2015-08-05 09:24:00,38.1483,26.1483,4.0
2015-07-29 22:00:00,36.5361,35.0361,5.0
2015-07-27 09:55:00,36.1818,31.1818,4.0
2015-07-25 18:35:00,37.1885,28.6885,4.2
2015-07-24 09:58:00,36.713,26.913,4.5
2015-07-24 06:54:00,40.2778,26.2778,4.4
2015-07-24 02:39:00,40.2661,26.2661,4.8
2015-07-24 01:26:00,40.2651,26.2651,4.3
2015-07-09 10:41:00,36.7136,26.9136,4.2
2015-07-08 22:14:00,37.5395,29.5395,4.2
2015-07-06 01:03:00,38.2638,26.5638,4.1
2015-06-24 08:37:00,36.775,27.175,4.1
2015-06-13 01:03:00,38.6986,40.1986,4.0
2015-05-29 08:02:00,36.8928,27.5928,4.1
2015-05-02 12:45:00,40.896,32.496,4.0
2015-04-28 07:59:00,37.0396,28.5396,4.0
2015-04-17 11:49:00,37.5056,38.8056,4.0
2015-03-28 10:08:00,37.4895,36.3895,4.1
2015-03-27 01:42:00,37.999,27.199,4.1
2015-03-17 10:11:00,36.5466,26.6466,4.4
2015-03-16 20:09:00,36.504,27.904,4.0
2015-02-27 22:25:00,38.6623,26.3623,4.1
2015-02-16 11:52:00,37.1865,30.0865,4.7
2015-02-10 08:56:00,37.169,30.069,4.5
2015-02-10 04:01:00,36.0605,35.9605,4.6
2015-02-09 22:52:00,39.4351,40.1351,4.3
2015-02-02 04:41:00,40.3295,26.0295,4.1
2015-01-23 10:19:00,40.0788,28.5788,4.3
2015-01-22 19:27:00,37.3098,36.3098,4.3
2015-01-17 00:42:00,39.8785,30.3785,4.0
2015-01-10 04:32:00,38.2678,27.0678,4.3
2015-01-08 18:44:00,37.0058,36.8058,4.6
2015-01-06 22:16:00,36.9013,34.4013,4.1
2014-12-29 08:06:00,38.8845,26.2845,4.5
2014-12-16 09:02:00,40.1845,27.0845,4.3
2014-12-06 08:36:00,38.9463,26.2463,4.1
2014-12-06 06:20:00,38.9565,26.2565,4.9
2014-12-06 01:45:00,38.9741,26.2741,5.1
2014-12-04 21:16:00,38.594,26.094,4.6
2014-11-30 16:01:00,37.3195,26.9195,4.1
2014-11-30 06:38:00,39.312,29.012,4.0
2014-11-28 02:30:00,39.3056,29.0056,4.3
2014-11-26 05:05:00,36.9096,27.7096,4.2
2014-11-26 00:04:00,39.3036,29.0036,4.0
2014-11-15 20:23:00,36.416,28.816,4.2
2014-11-15 07:30:00,39.3978,28.9978,4.0
2014-11-12 16:25:00,36.078,31.478,4.0
2014-11-10 09:20:00,37.158,28.758,4.3
2014-11-10 06:16:00,37.1345,28.7345,4.8
2014-10-22 17:11:00,40.4001,30.1001,4.5
2014-10-21 12:01:00,39.9585,39.6585,4.0
2014-10-21 03:03:00,38.1045,27.1045,4.1
2014-10-11 06:42:00,38.1596,27.0596,4.0
2014-10-02 15:51:00,36.0425,27.0425,4.2
